item_name,description,study,year,partisan_cue,response_options,exp_dk,exp_ns,tbyk,dyt,afayk,other_enc_wording,question_block,topic,address_misinfo,months_midterm,months_presidential,jnj_miscode,asked_election_year,response_open_int,actual_partisan,survey,sign
infl_1986_anes,Inflation over past year,anes,1986,0,3,0,0,0,0,0,0,0,1,0,1,25,0,1,1,1,1,1
unemp_1986_anes,Unemployment over past year,anes,1986,0,3,0,0,0,0,0,0,0,1,0,1,25,0,1,1,1,1,1
school_since80_1988_anes,School spending since 1980,anes,1988,0,3,0,0,0,0,0,0,0,8,0,25,1,0,1,1,1,2,1
ss_since80_1988_anes,Social Security benefits since 1980,anes,1988,0,3,0,0,0,0,0,0,0,6,0,25,1,0,1,1,1,2,1
deficit_since80_1988_anes,Deficit compared to 1980,anes,1988,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,2,-1
infl_1988_anes,Inflation over past year,anes,1988,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,2,1
unemp_1988_anes,Unemployment over past year,anes,1988,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,2,1
unemp_1992_anes,Unemployment over past year,anes,1992,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,3,-1
infl_1992_anes,Inflation over past year,anes,1992,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,3,-1
taxes_clinton_1996_anes,Taxes under Clinton,anes,1996,1,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,4,1
deficit_clinton_1996_anes,Deficit under Clinton,anes,1996,1,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,4,-1
deficit_92_2000_anes,Deficit compared to 1992,anes,2000,1,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,5,-1
crime_92_2000_anes,Crime compared to 1992,anes,2000,0,3,0,0,0,0,0,0,0,9,0,25,1,0,1,1,1,5,-1
infl_2004_anes,Inflation over past year,anes,2004,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,6,-1
unemp_2004_anes,Unemployment over past year,anes,2004,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,6,1
taxes_gwb_2004_anes,Income tax for average person under Bush,anes,2004,1,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,6,1
unemp_2008_anes,Unemployment over past year,anes,2008,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,7,-1
infl_2008_anes,Inflation over past year,anes,2008,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,7,1
death_panels,Health care end of life,anes,2012,0,4,0,0,0,0,0,0,0,2,1,25,1,0,1,1,1,8,-1
9_11_2012,Government knew about 9/11 -2012,anes,2012,0,4,0,0,0,0,0,0,0,9,1,25,1,0,1,1,1,8,-1
katrina,Katrina flooding,anes,2012,0,4,0,0,0,1,0,0,0,5,1,25,1,0,1,1,1,8,1
unemp_2012_anes,Unemployment over past year,anes,2012,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,8,-1
obama_muslim,Obama Muslim,anes,2016,1,2,0,0,0,0,0,0,0,9,1,25,1,0,1,0,1,9,-1
9_11_2016,Government knew about 9/11 -2016 ,anes,2016,0,4,0,0,0,0,0,0,0,9,1,25,1,0,1,1,1,9,1
exist_warm_2016_anes,Existence of global warming,anes,2016,0,3,0,0,0,1,0,0,0,5,1,25,1,0,1,1,1,9,-1
cause_warm_2016_anes,Cause of global warming,anes,2016,0,2,0,0,0,1,0,0,0,5,1,25,1,0,1,1,1,9,-1
unemp_2016_anes,Unemployment over past year,anes,2016,0,3,0,0,0,0,0,0,0,1,0,25,1,0,1,1,1,9,-1
birther,Obama born in U.S. ,anes ,2012,1,4,0,0,0,0,0,0,0,9,1,25,1,0,1,1,1,8,-1
afgh_change_b,"Afghanistan casualties, 2007 vs. 2008",bullock_a,2008,0,3,0,0,0,0,0,0,0,3,0,24,0,0,1,1,1,10,-1
gwb_app_reps_b,Estimated Bush approval among Republicans,bullock_a,2008,1,5,0,0,0,0,0,0,0,9,0,24,0,0,1,0,1,10,1
gwb_infl_change_b,Bush inflation change,bullock_a,2008,1,3,0,0,0,0,0,0,0,1,0,24,0,0,1,1,1,10,-1
gwb_unemp_change_b,Bush unemployment change,bullock_a,2008,1,3,0,0,0,0,0,0,0,1,0,24,0,0,1,1,1,10,-1
iraq_change_b,"Iraq casualties, 2007 vs. 2008",bullock_a,2008,0,3,0,0,0,0,0,0,0,3,0,24,0,0,1,1,1,10,1
iraq_total_b,Iraq total casualties,bullock_a,2008,0,5,0,0,0,0,0,0,0,3,0,24,0,0,1,0,1,10,1
gwb_def_change_b,Bush deficit change,bullock_a,2008,1,3,0,0,0,0,0,0,0,1,0,24,0,0,1,1,1,10,-1
obama_age_b,Obama age,bullock_a,2008,1,4,0,0,0,0,0,0,0,9,0,24,0,0,1,0,0,10,-1
gwb_approval_b,Estimated Bush approval,bullock_a,2008,1,5,0,0,0,0,0,0,0,9,0,24,0,0,1,0,1,10,-1
mccain_age_b,McCain age,bullock_a,2008,1,4,0,0,0,0,0,0,0,9,0,24,0,0,1,0,0,10,1
iraq_death_b,Iraq deaths,bullock_b,2012,0,9,0,0,0,0,0,0,0,3,0,31,7,0,0,0,1,11,-1
obama_vote_b,Obama vote in 2008,bullock_b,2012,1,9,0,0,0,0,0,0,0,9,0,31,7,0,0,0,1,11,1
obama_unemp_b,Obama unemployment,bullock_b,2012,1,9,0,0,0,0,0,0,0,1,0,31,7,0,0,0,1,11,1
medicaid_b,Medicaid spending,bullock_b,2012,0,9,0,0,0,0,0,0,0,2,0,31,7,0,0,0,0,11,-1
tarp_b,TARP: percent paid back,bullock_b,2012,0,9,0,0,0,0,0,0,0,1,0,31,7,0,0,0,1,11,-1
def_spend_b,Defense spending,bullock_b,2012,0,9,0,0,0,0,0,0,0,1,0,31,7,0,0,0,1,11,1
gwb_emp_change_b,Bush II unemployment,bullock_b,2012,1,9,0,0,0,0,0,0,0,1,0,31,7,0,0,0,1,11,-1
debt_service_b,Debt service spending,bullock_b,2012,0,9,0,0,0,0,0,0,0,1,0,31,7,0,0,0,1,11,-1
amount_warm_b,Global warming,bullock_b,2012,0,9,0,0,0,0,0,0,0,5,1,31,7,0,0,0,1,11,-1
foreign_b,Foreign born population,bullock_b,2012,0,9,0,0,0,0,0,0,0,9,0,31,7,0,0,0,0,11,-1
iraq_deaths_black_b,Iraq deaths: percent black,bullock_b,2012,0,9,0,0,0,0,0,0,0,3,0,31,7,0,0,0,1,11,1
jnj_113,Clinton health plan - all Americans,jnj,1993,1,2,0,0,0,0,0,1,1,2,0,11,35,0,0,0,1,12,-1
jnj_114,Clinton health plan - unemployed workers,jnj,1993,1,2,0,0,0,0,0,1,1,2,0,11,35,0,0,0,1,12,-1
jnj_115,Congress considered - raise Medicare eligibility,jnj,1997,0,2,0,0,1,0,0,0,1,1,0,15,39,0,0,0,1,13,1
jnj_116,Congress considered - rich seniors pay higher Medicare premiums,jnj,1997,0,2,0,0,1,0,0,0,1,2,0,15,39,0,0,0,1,13,1
jnj_117,Congress considered - no Medicare for rich seniors,jnj,1997,0,2,0,0,1,0,0,0,1,2,0,15,39,0,0,0,1,13,-1
jnj_118,Congress considered - expand choice under Medicare,jnj,1997,0,2,0,0,1,0,0,0,1,2,0,15,39,0,0,0,1,13,-1
jnj_119,Congress considered - cut Medicare payments,jnj,1997,0,2,0,0,1,0,0,0,1,2,0,15,39,0,0,0,1,13,1
jnj_154,Clinton SOTU health mention - children,jnj,1997,1,2,0,0,0,0,0,0,1,2,0,21,45,0,0,0,1,14,-1
jnj_155,Clinton SOTU health mention - workers,jnj,1997,1,2,0,0,0,0,0,0,1,2,0,21,45,0,0,0,1,14,-1
jnj_156,Clinton SOTU health mention - low-income people,jnj,1997,1,2,0,0,0,0,0,0,1,2,0,21,45,0,0,0,1,14,1
jnj_157,Clinton SOTU health mention - long-term care,jnj,1997,1,2,0,0,0,0,0,0,1,2,0,21,45,0,0,0,1,14,1
jnj_78,Trent Lott recognition,jnj,1997,1,0,0,0,0,0,0,0,1,4,0,18,42,0,0,0,0,15,1
jnj_79,Louis Freeh recognition,jnj,1997,1,0,0,0,0,0,0,0,1,4,0,18,42,0,0,0,0,15,-1
jnj_80,John Huang recognition,jnj,1997,1,0,0,0,0,0,0,0,1,4,0,18,42,0,0,0,0,15,1
jnj_82,Kenneth Starr recognition,jnj,1997,1,0,0,0,0,0,0,0,1,4,0,18,42,0,0,0,0,15,1
jnj_84,Ralph Reed recognition,jnj,1997,1,0,0,0,0,0,0,0,1,4,0,18,42,0,0,0,0,15,1
jnj_86,Wester Hubbell recognition,jnj,1997,1,0,0,0,0,0,0,0,1,4,0,18,42,0,0,0,0,15,1
jnj_159,Budget agreement - increase senior premiums,jnj,1997,1,2,0,0,0,0,0,0,1,2,0,17,41,0,0,0,1,16,1
jnj_160,Budget agreement - prescription drugs,jnj,1997,1,2,0,0,0,0,0,0,1,2,0,17,41,0,0,0,1,16,1
jnj_161,Budget agreement - raising payroll tax,jnj,1997,1,2,0,0,0,0,0,0,1,2,0,17,41,0,0,0,1,16,-1
jnj_74,Control of House - 1997,jnj,1997,0,2,0,0,0,0,0,1,0,9,0,17,41,0,0,0,0,17,1
jnj_75,Gingrich ethics fine,jnj,1997,1,0,0,0,0,0,0,1,0,9,0,17,41,0,0,0,1,17,-1
jnj_166,Commission rec - increasing payroll taxes,jnj,1998,0,2,0,0,0,0,1,0,1,2,0,5,29,0,0,0,0,18,-1
jnj_167,Commission rec - increasing retirement age,jnj,1998,0,2,0,0,0,0,1,0,1,2,0,5,29,0,0,0,0,18,1
jnj_168,Commission rec - investing Social Security $ in stock market,jnj,1998,0,2,0,0,0,0,1,0,1,2,0,5,29,0,0,0,0,18,-1
jnj_169,Commission rec - moving Social Security $ to reitrement accounts,jnj,1998,0,2,0,0,0,0,1,0,1,2,0,5,29,0,0,0,0,18,1
jnj_170,Law to protect consumers in HMOs,jnj,1998,0,2,0,0,0,0,0,1,0,2,0,3,27,0,1,0,0,19,1
jnj_171,Right to sue HMO,jnj,1998,0,2,0,0,0,0,0,1,0,2,0,3,27,0,1,0,0,19,1
